"","LD50","SD","rounded"
"PABL001",6.68811285988634,0.0981122757927623,6.7
"PABL002",6.35543613559583,0.275321235881899,6.4
"PABL003",6.48903029859888,0.209061195827024,6.5
"PABL004",7.48411285593703,4.63189487100771,7.5
"PABL006",6.50434395631256,0.104318980010436,6.5
"PABL007",6.45254573485741,0.34446964693252,6.5
"PABL009",7.2774744933186,0.232998111166449,7.3
"PABL010",7.43112686158282,12.4021124207942,7.4
"PABL011",7.1064290778099,0.156952096528442,7.1
"PABL012",5.84763897220349,0.117602194746633,5.8
"PABL013",6.23447040332573,0.109145765710301,6.2
"PABL014",7.27094789008346,8.60477043334899,7.3
"PABL015",7.40056690835299,0.533160051198458,7.4
"PABL016",6.30407275966622,0.0620657394326918,6.3
"PABL017",6.78747176423424,0.157277287386194,6.8
"PABL018",7.13618204839358,23.9798368596802,7.1
"PABL020",7.52980104703235,20.9943775426006,7.5
"PABL021",7.43637178481038,13.6507028131034,7.4
"PABL022",6.62999700955627,0.028814791282946,6.6
"PABL023",6.62714880400687,0.0282860413921506,6.6
"PABL024",6.4945020066114,0.120328691239947,6.5
"PABL026",6.56003960716232,0.235824042682646,6.6
"PABL027",8.27949090857979,0.0424654311850205,8.3
"PABL028",7.52324302568449,3.15231764612313,7.5
"PABL029",6.58690335824118,18.1052827516924,6.6
"PABL030",6.84020560657493,0.220874190724002,6.8
"PABL031",6.52995013541148,0.887422999771916,6.5
"PABL032",6.70691240388642,0.0468591538009839,6.7
"PABL034",6.76247746265836,0.43746314185057,6.8
"PABL035",6.94632052706651,6.23999328972784,6.9
"PABL036",6.99774260431988,23.7352798465426,7
"PABL037",6.9918081943762,0.11969004393345,7
"PABL038",7.39568932494754,0.00463951675987884,7.4
"PABL040",7.19277413651122,4.22516676908323,7.2
"PABL041",6.64424199615068,0.159549723984618,6.6
"PABL042",7.31140383997791,0.140653749924587,7.3
"PABL043",8.09672506088384,5.08833879360206,8.1
"PABL044",7.19803677159641,22.5606116210133,7.2
"PABL046",7.00140961977274,152.449746228719,7
"PABL047",7.04061235288219,14.1497272907512,7
"PABL048",7.03993986473748,175.909940617569,7
"PABL049",6.10987493373428,0.144937251764135,6.1
"PABL051",7.49153595474841,2.85352155226389,7.5
"PABL052",7.69003041048721,0.132717767476269,7.7
"PABL053",6.99538537023959,5.89213741818129,7
"PABL054",6.92006963011277,0.0849393217224501,6.9
"PABL055",6.97121515007993,0.0631447698536562,7
"PABL056",7.66390636197054,6.86244111945094,7.7
"PABL057",7.26280964126633,0.108723983800086,7.3
"PABL058",7.60495410221544,0.122528437689798,7.6
"PABL059",7.34890436462732,0.274919816041336,7.3
"PABL060",6.783234104171,20.1998181074694,6.8
"PABL061",6.45933983802004,0.335496589882052,6.5
"PABL062",7.5243465703959,0.286992934203541,7.5
"PABL063",7.20438608833308,0.748686474231107,7.2
"PABL064",7.4263211979994,1.33765101178756,7.4
"PABL065",7.91386778740742,6.93797537533703,7.9
"PABL066",7.66628338435555,2.16534690820107,7.7
"PABL067",7.36211563732988,0.173225390950038,7.4
"PABL068",6.53076219961942,0.0134990583535829,6.5
"PABL069",7.0163642401517,0.0878171154356632,7
"PABL070",6.51099604464192,0.0487231151793316,6.5
"PABL071",7.277534710914,0.0526095382611601,7.3
"PABL072",6.70481653669287,0.330307313423442,6.7
"PABL073",6.87321095324824,0.112935615957946,6.9
"PABL074",7.29666751916448,0.299328719026343,7.3
"PABL075",6.93685826708543,0.34385616574507,6.9
"PABL076",6.93523237414455,0.233026265510295,6.9
"PABL077",6.69738945201058,0.567231812418187,6.7
"PABL078",6.76838635391318,0.597601142193707,6.8
"PABL079",6.56269237308782,0.221486373952583,6.6
"PABL080",7.12302098212971,0.479981555221899,7.1
"PABL081",7.56975074645525,0.0457974511251054,7.6
"PABL082",7.83777229822018,0.113314577560162,7.8
"PABL083",6.4239369291172,0.0666619311712481,6.4
"PABL084",6.58382341193861,9.88467466973853,6.6
"PABL085",6.70225355466148,0.299842076997459,6.7
"PABL086",7.15197183070147,6.17760949886176,7.2
"PABL088",7.4210916962398,3.6813097285405,7.4
"PABL089",7.32106805475372,0.077569913436613,7.3
"PABL090",6.66949708087503,0.1224695842712,6.7
"PABL091",7.14982482945481,0.386894688362839,7.1
"PABL092",7.66124310590415,0.177020835888644,7.7
"PABL093",6.31476015155965,1.31633228749268,6.3
"PABL094",7.11464845262491,0.458964677358958,7.1
"PABL095",6.68162153555452,12.0211152845592,6.7
"PABL096",6.53931149811737,0.136300609811488,6.5
